make,model,yearFrom,yearTo,body,drive,cylinders,displacement,hp,trans,gears,seats,clearanceMm,reliability,mpg,priceUsd,looks,tags
Toyota,Corolla,2014,2019,sedan,fwd,4,1.8,132,cvt,1,5,140,5,34,13000,2,"cheap-parts,commuter"
Toyota,Camry,2018,2024,sedan,fwd,4,2.5,203,auto,8,5,145,5,32,20000,3,"comfort,commuter"
Toyota,Camry V6,2018,2024,sedan,fwd,6,3.5,301,auto,8,5,145,5,26,24000,3,"quick,comfort"
Toyota,Prius,2016,2022,hatch,fwd,4,1.8,121,cvt,1,5,145,5,54,17000,2,"hybrid,frugal"
Toyota,Avalon,2013,2018,sedan,fwd,6,3.5,268,auto,6,5,145,5,25,15000,2,"comfort,quiet"
Toyota,GR86,2022,2025,coupe,rwd,4,2.4,228,manual,6,4,130,4,25,28000,5,"sporty,jdm,fun"
Toyota,Supra 3.0,2020,2025,coupe,rwd,6,3,382,auto,8,2,115,4,25,45000,5,"sporty,jdm,fast"
Toyota,Yaris,2012,2019,hatch,fwd,4,1.5,106,auto,4,5,135,5,33,8000,2,"frugal,cheap-parts"
Honda,Civic,2016,2021,sedan,fwd,4,1.5,174,cvt,1,5,135,4,36,17000,3,"turbo,commuter"
Honda,Civic Si,2017,2021,sedan,fwd,4,1.5,205,manual,6,5,130,4,32,23000,4,"sporty,fun,turbo"
Honda,Civic Type R,2017,2021,hatch,fwd,4,2,306,manual,6,4,125,4,25,38000,5,"sporty,fast,track"
Honda,Accord,2018,2022,sedan,fwd,4,2,252,auto,10,5,140,5,26,22000,3,"quick,comfort"
Honda,Fit,2015,2020,hatch,fwd,4,1.5,130,cvt,1,5,135,5,36,11000,2,"practical,frugal"
Honda,CR-V,2017,2022,suv,awd,4,1.5,190,cvt,1,5,200,5,29,21000,2,"practical,family"
Honda,Pilot,2016,2022,suv,awd,6,3.5,280,auto,9,8,185,4,22,24000,2,"family,3row"
Honda,S2000,2000,2009,convertible,rwd,4,2.2,237,manual,6,2,120,4,22,35000,5,"sporty,jdm,fun"
Mazda,3,2019,2024,hatch,fwd,4,2.5,186,auto,6,5,140,4,30,20000,4,"stylish,sharp"
Mazda,6,2018,2021,sedan,fwd,4,2.5,227,auto,6,5,145,4,26,19000,4,"turbo,stylish"
